/B X,/B Y,/C X,/C Y,/A X,/A Y
1.15e-08,0,1.15e-08,1,1.15e-08,0
1.16e-08,0,1.16e-08,1.187938636348917e-14,1.16e-08,0
1.171991571968168e-08,0,1.171991571968168e-08,0,1.171991571968168e-08,0
1.184577790943521e-08,0,1.184577790943521e-08,0,1.184577790943521e-08,0
1.2e-08,0,1.2e-08,0,1.2e-08,0
1.21e-08,0.5000000000000044,1.21e-08,0.9999999999999922,1.21e-08,0
1.22e-08,1,1.22e-08,1,1.22e-08,0
1.233669135376725e-08,1,1.233669135376725e-08,1,1.233669135376725e-08,0
1.241834567688363e-08,1,1.241834567688363e-08,1,1.241834567688363e-08,0
1.25e-08,1,1.25e-08,1,1.25e-08,0
1.26e-08,1,1.26e-08,1.187938636348917e-14,1.26e-08,0
1.271991571968168e-08,1,1.271991571968168e-08,0,1.271991571968168e-08,0
1.284577790943521e-08,1,1.284577790943521e-08,0,1.284577790943521e-08,0
1.3e-08,1,1.3e-08,0,1.3e-08,0
1.31e-08,0.4999999999999915,1.31e-08,0.9999999999999922,1.31e-08,0.2000000000000018
1.32e-08,0,1.32e-08,1,1.32e-08,0.4000000000000002
1.333669135376725e-08,0,1.333669135376725e-08,1,1.333669135376725e-08,0.6733827075345069
1.341834567688363e-08,0,1.341834567688363e-08,1,1.341834567688363e-08,0.8366913537672546
1.35e-08,0,1.35e-08,1,1.35e-08,0.999999999999999
1.36e-08,0,1.36e-08,1.187938636348917e-14,1.36e-08,1
1.371991571968168e-08,0,1.371991571968168e-08,0,1.371991571968168e-08,1
1.384577790943521e-08,0,1.384577790943521e-08,0,1.384577790943521e-08,1
1.4e-08,0,1.4e-08,0,1.4e-08,1
1.41e-08,0.5000000000000044,1.41e-08,1,1.41e-08,1
1.42e-08,1,1.42e-08,1,1.42e-08,1
1.433669135376726e-08,1,1.433669135376726e-08,1,1.433669135376726e-08,1
1.441834567688363e-08,1,1.441834567688363e-08,1,1.441834567688363e-08,1
1.45e-08,1,1.45e-08,1,1.45e-08,1
1.46e-08,1,1.46e-08,1.187938636348917e-14,1.46e-08,1
1.471991571968168e-08,1,1.471991571968168e-08,0,1.471991571968168e-08,1
1.484577790943521e-08,1,1.484577790943521e-08,0,1.484577790943521e-08,1
1.5e-08,1,1.5e-08,0,1.5e-08,1
